radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,size,flag,x,y,cloud_id,status
LTE,216.0,1.0,5112.0,1316353.0,0.0,19.084003,47.325426,77533.0,215.0,1.0,1427367423.0,1652607154.0,0.0,678.0,0.0,22173170.400832742,6129261.260363976,3.0,1.0
LTE,216.0,30.0,30411.0,416771.0,0.0,19.924283,47.329424,114303.0,560.0,1.0,1427371395.0,1562390692.0,0.0,576.0,0.0,22266757.3859428,6128876.067220959,3.0,1.0
LTE,216.0,30.0,12001.0,124931.0,0.0,18.974975,47.507101,90501.0,15.0,1.0,1427372288.0,1429708278.0,0.0,717.0,0.0,22161027.303516872,6111740.598081676,3.0,1.0
LTE,216.0,30.0,12001.0,196354.0,0.0,18.936416,47.542928,142980.0,307.0,1.0,1427456526.0,1577521676.0,0.0,890.0,0.0,22156732.758176204,6108281.360959288,3.0,1.0
LTE,216.0,1.0,5112.0,63490.0,0.0,19.018542,47.45528,137498.0,156.0,1.0,1427551035.0,1683953141.0,0.0,636.0,0.0,22165879.61962613,6116741.726988791,3.0,1.0
LTE,216.0,30.0,12000.0,359173.0,0.0,19.023973,47.503878,103535.0,100.0,1.0,1427911034.0,1696692219.0,0.0,633.0,0.0,22166484.502422504,6112051.725038976,3.0,1.0
LTE,216.0,30.0,800.0,189698.0,0.0,19.237298,47.594509,103589.0,916.0,1.0,1427991310.0,1572603708.0,0.0,980.0,0.0,22190243.77742441,6103298.63513682,3.0,1.0
LTE,216.0,30.0,30481.0,416258.0,0.0,21.443536,47.440254,60183.0,279.0,1.0,1428052865.0,1511595153.0,0.0,836.0,0.0,22435965.635442268,6118191.3245118335,3.0,1.0
LTE,216.0,30.0,12001.0,196353.0,0.0,18.996779,47.558764,95791.0,22.0,1.0,1429093631.0,1481005921.0,0.0,547.0,0.0,22163455.744778525,6106751.901788211,3.0,1.0
LTE,216.0,30.0,410.0,499971.0,0.0,20.253725,47.178593,95021.0,89.0,1.0,1429266439.0,1430195303.0,0.0,544.0,0.0,22303449.302385688,6143396.541922467,3.0,1.0
LTE,262.0,1.0,16546.0,31904768.0,0.0,10.981337,50.430887,206220.0,65.0,1.0,1429282718.0,1477683041.0,0.0,869.0,0.0,21270728.25976813,5824810.962464362,3.0,1.0
LTE,216.0,30.0,65534.0,359684.0,0.0,19.286494,47.326744,112841.0,11.0,1.0,1429466055.0,1443661833.0,0.0,992.0,0.0,22195723.028768577,6129134.277578052,3.0,1.0
LTE,216.0,30.0,65534.0,93442.0,0.0,19.142433,47.510091,113890.0,161.0,1.0,1429466063.0,1466902012.0,0.0,634.0,0.0,22179678.097719472,6111451.953609325,3.0,1.0
LTE,216.0,30.0,65534.0,148738.0,0.0,19.148137,47.511123,94105.0,16.0,1.0,1429466217.0,1450145401.0,0.0,819.0,0.0,22180313.386150792,6111352.325638726,3.0,1.0
LTE,216.0,30.0,31302.0,521987.0,0.0,19.90969,47.682647,57244.0,142.0,1.0,1429466741.0,1618650285.0,0.0,665.0,0.0,22265132.076672427,6094777.991110945,3.0,1.0
LTE,216.0,30.0,65534.0,359169.0,0.0,19.297273,47.307434,110651.0,15.0,1.0,1429466970.0,1438875025.0,0.0,568.0,0.0,22196923.550157283,6130994.51902354,3.0,1.0
LTE,216.0,30.0,65534.0,205057.0,0.0,19.061443,47.466596,50654.0,15.0,1.0,1429467013.0,1466497695.0,0.0,707.0,0.0,22170657.759351235,6115649.8862134805,3.0,1.0
LTE,216.0,30.0,65534.0,237826.0,0.0,19.122107,47.449167,56932.0,17.0,1.0,1429467679.0,1447595911.0,0.0,900.0,0.0,22177414.270115167,6117331.492715953,3.0,1.0
LTE,216.0,30.0,65534.0,95745.0,0.0,19.024864,47.421123,90691.0,20.0,1.0,1429468452.0,1437126564.0,0.0,794.0,0.0,22166583.738395907,6120036.598910085,3.0,1.0
LTE,216.0,30.0,65534.0,95746.0,0.0,19.023614,47.435463,92248.0,37.0,1.0,1429468752.0,1437683178.0,0.0,801.0,0.0,22166444.518455666,6118653.474937501,3.0,1.0
LTE,216.0,1.0,41234.0,353281.0,0.0,18.302521,47.622266,60388.0,3.0,1.0,1429469413.0,1431939705.0,0.0,501.0,0.0,22086132.098959822,6100616.144837026,3.0,1.0
LTE,216.0,30.0,480.0,357636.0,0.0,21.176873,47.573252,344097.0,11.0,1.0,1429513514.0,1476002345.0,0.0,759.0,0.0,22406265.789902207,6105352.402168604,3.0,1.0
LTE,216.0,30.0,290.0,401923.0,0.0,18.419723,47.320037,54035.0,2.0,1.0,1429311191.0,1429311191.0,0.0,961.0,0.0,22099185.58330893,6129780.444981953,3.0,1.0
LTE,216.0,30.0,26111.0,1167879.0,0.0,17.668778,47.149278,113765.0,78.0,1.0,1429624648.0,1487910478.0,0.0,523.0,0.0,22015548.368888177,6146215.942357242,3.0,1.0
LTE,216.0,30.0,290.0,337667.0,0.0,18.016128,47.131844,89216.0,70.0,1.0,1429751242.0,1433695283.0,0.0,878.0,0.0,22054234.80588296,6147892.252085965,3.0,1.0
LTE,216.0,30.0,12007.0,226817.0,0.0,19.046558,47.477761,94834.0,1305.0,1.0,1429762996.0,1616314514.0,0.0,720.0,0.0,22168999.928302817,6114572.48291716,3.0,1.0
LTE,216.0,30.0,12006.0,152579.0,0.0,19.136914,47.546957,112805.0,1355.0,1.0,1429781250.0,1649725242.0,0.0,584.0,0.0,22179063.41383931,6107892.260580799,3.0,1.0
LTE,216.0,30.0,12006.0,149250.0,0.0,19.233739,47.475336,142300.0,1124.0,1.0,1429787839.0,1646642457.0,0.0,863.0,0.0,22189847.39041055,6114806.502393244,3.0,1.0
LTE,216.0,30.0,12004.0,125698.0,0.0,19.022125,47.507256,133570.0,2000.0,1.0,1429790949.0,1645810383.0,0.0,706.0,0.0,22166278.67966285,6111725.6351381205,3.0,1.0
LTE,216.0,30.0,12007.0,133892.0,0.0,19.058219,47.488769,52617.0,48.0,1.0,1429794190.0,1559123996.0,0.0,778.0,0.0,22170298.68328136,6113510.10145607,3.0,1.0
LTE,216.0,30.0,12007.0,366850.0,0.0,19.034022,47.469455,115985.0,104.0,1.0,1429794190.0,1680050209.0,0.0,951.0,0.0,22167603.719366107,6115374.010119407,3.0,1.0
LTE,216.0,30.0,12006.0,168961.0,0.0,19.13104,47.510471,55929.0,220.0,1.0,1429795156.0,1506242626.0,0.0,981.0,0.0,22178409.19149612,6111415.269021969,3.0,1.0
LTE,216.0,30.0,12006.0,228354.0,0.0,19.185708,47.480098,89600.0,1453.0,1.0,1429801522.0,1648563596.0,0.0,711.0,0.0,22184497.89205069,6114346.949840087,3.0,1.0
